"ID Comida";"ID  BF";"Fecha Hora";"ID Donantes";"Tipo de comida";"Descripción";"Cantidad (un. o kg)"
"C424";"B007";"02/02/2021 20:38:21";"D002";"Comida Preparada";"Pollo con tomate";"2"
"C423";"B011";"02/02/2021 20:38:04";"D002";"Comida Preparada";"Macarranoes condimentados";"2"
"C426";"B012";"02/02/2021 20:37:35";"D001";"Comida Preparada";"Salchichas";"2"
"C424";"B014";"02/02/2021 20:37:20";"D002";"Comida Preparada";"Pollo con tomate";"2"
"C422";"B004";"01/02/2021 21:39:09";"D012";"Fruta y verdura ";"Fruta y verdura";"5"
"C420";"B010";"01/02/2021 21:38:00";"D004";"pan";"pan";"5"
"C420";"B004";"01/02/2021 21:37:07";"D006";"verdura y fruta";"fruta y verdura";"5"
"C425";"B004";"01/02/2021 21:35:38";"d002";"pan";"pan";"5"
"C426";"B004";"01/02/2021 21:35:03";"d0004";"pan";"pan";"3"
"C426";"B001";"01/02/2021 21:33:50";"d0004";"pan";"pan";"5"
"C422";"B001";"01/02/2021 21:28:05";"D012";"Fruta y verdura ";"fruta y verdura";"5"
"C422";"B007";"01/02/2021 21:27:18";"D012";"Fruta y verdura ";"fruta y verdura";"4"
"C421";"B011";"01/02/2021 21:26:58";"D006";"Fruta y verdura ";"fruta y verdura";"3"
"C421";"B012";"01/02/2021 21:25:10";"D006";"Fruta y verdura ";"fruta y verdura";"3"
"C421";"B012";"01/02/2021 21:24:12";"D006";"Fruta y verdura ";"fruta y verdura";"5"
"C420";"B011";"01/02/2021 20:43:22";"D002";"Comida preparada";"Pollo en salsa";"2"
"C420";"B010";"01/02/2021 20:41:59";"D002";"Comida preparada";"Pollo en salsa";"4"
"C420";"B007";"01/02/2021 20:40:32";"D002";"Comida preparada";"Pollo en salsa";"2"
"C420";"B004";"01/02/2021 20:40:01";"D002";"Comida preparada";"Pollo en salsa";"4"
"C420";"B001";"01/02/2021 20:39:20";"D002";"Comida preparada";"Pollo en salsa";"4"
"C415";"B010";"28/01/2021 21:41:30";"Q´pastelitos";"Bollos";"Fruta y verdura";"2"
"C416";"B001";"28/01/2021 21:40:14";"Las gemelas";"Alimentos frescos";"Fruta y verdura";"5"
"C419";"B012";"28/01/2021 21:37:28";"Aquinas";"Comida preparada";"Chorizo criollo";"3"
"C419";"B010";"28/01/2021 21:37:06";"Aquinas";"Comida preparada";"Chorizo criollo";"5"
"C419";"B004";"28/01/2021 21:36:26";"Aquinas";"Comida preparada";"Chorizo criollo";"5"
"C419";"B001";"28/01/2021 21:36:07";"Aquinas";"Comida preparada";"Chorizo criollo";"5"
"C414";"B004";"28/01/2021 21:34:38";"Eñe";"Comida preparada";"Paella";"4"
"C418";"B012";"28/01/2021 21:33:33";"VEDRUNA";"Comida preparada";"Merluza";"8"
"C416";"B012";"28/01/2021 21:32:24";"Valencia";"Alimentos frescos";"Frutas y verduras";"5"
"C416";"B010";"28/01/2021 21:32:08";"Valencia";"Alimentos frescos";"Frutas y verduras";"10"
"C417";"B012";"28/01/2021 21:30:10";"Levadura madre";"Pan";"Pan";"2"
"C417";"B010";"28/01/2021 21:29:29";"Levadura madre";"Pan";"Pan";"2"
"C417";"B004";"28/01/2021 21:28:59";"Levadura madre";"Pan";"Pan";"1"
"C417";"B001";"28/01/2021 21:28:43";"Levadura madre";"Pan";"Pan";"2"
"C417";"B007";"28/01/2021 21:27:02";"Levadura madre";"Pan";"Pan";"1"
"C419";"B007";"28/01/2021 21:25:20";"Aquinas";"Comida Preparada";"Chorizo criollo";"4"
"C413";"B004";"28/01/2021 21:23:45";"Valencia";"Alimentos frescos";"Fruta y verdura";"5"
"C413";"B007";"28/01/2021 21:22:34";"Valencia";"Alimentos frescos";"Fruta y verdura";"5"
"C413";"B001";"28/01/2021 21:22:06";"Valencia";"Alimentos frescos";"Fruta y verdura";"5"
"C410";"B010";"28/01/2021 20:24:35";"D004";"Pan";"Barra de pan";"1"
"C410";"B001";"28/01/2021 20:24:09";"D004";"Pan";"Barra de pan";"1"
"C398";"B007";"28/01/2021 20:23:37";"D003";"Comida Preparada";"Paella de pollo";"2"
"C399";"B004";"28/01/2021 20:19:57";"D003";"Comida Preparada";"Carne con verduras";"2"
"C399";"B004";"28/01/2021 20:19:17";"D003";"Comida Preparada";"Carne con verduras";"2"
"C398";"B010";"28/01/2021 20:18:03";"D003";"Comida Preparada";"Paella de pollo";"5"
"C406";"B001";"28/01/2021 20:17:00";"D005";"Bollos";"Pastelitos";"1"
"C406";"B012";"28/01/2021 20:15:52";"D005";"Bollos";"Pastelitos";"1"
"C406";"B010";"28/01/2021 20:14:44";"D005";"Bollos";"Pastelitos";"1"
"C406";"B007";"28/01/2021 20:13:15";"D005";"Bollos";"Pastelitos";"2"
"C405";"B004";"28/01/2021 20:12:18";"D011";"Bollos";"Empanadas";"2"
"C402";"B012";"28/01/2021 20:08:14";"D001";"Comida Preparada";"Filetes de cerdo con queso";"2"
"C403";"B001";"28/01/2021 20:02:26";"D002";"Comida Preparada";"ternera con pimientos";"20"
"C412";"B011";"27/01/2021 21:32:30";"D012";"Alimentos frescos";"Manzanas";"1"
"C409";"B011";"27/01/2021 21:32:07";"D013";"Comida Preparada";"Verduras a la plancha";"1"
"C411";"B011";"27/01/2021 21:31:51";"D012";"Alimentos frescos";"Mandarinas";"1"
"C396";"B011";"27/01/2021 21:31:39";"D006";"Alimentos frescos";"fruta y verdura";"1"
"C401";"B011";"27/01/2021 21:31:06";"D001";"Comida Preparada";"Pimientos con carne";"1"
"C411";"B012";"27/01/2021 21:30:43";"D012";"Alimentos frescos";"Mandarinas";"1"
"C410";"B012";"27/01/2021 21:30:24";"D004";"Pan";"Barra de pan";"1"
"C403";"B012";"27/01/2021 21:29:55";"D002";"Comida Preparada";"ternera con pimientos";"5"
"C405";"B014";"27/01/2021 21:29:35";"D011";"Bollos";"Empanadas";"1"
"C410";"B010";"27/01/2021 21:29:12";"D004";"Pan";"Barra de pan";"1"
"C393";"B014";"27/01/2021 21:28:57";"D002";"Comida Preparada";"Bienmesabe";"1"
"C412";"B010";"27/01/2021 21:28:32";"D012";"Alimentos frescos";"Manzanas";"1"
"C410";"B010";"27/01/2021 21:28:04";"D004";"Pan";"Barra de pan";"1"
"C403";"B010";"27/01/2021 21:27:37";"D002";"Comida Preparada";"ternera con pimientos";"5"
"C411";"B004";"27/01/2021 21:27:17";"D012";"Alimentos frescos";"Mandarinas";"1"
"C407";"B004";"27/01/2021 21:26:52";"D008";"Comida Preparada";"Patatas con costillas";"4"
"C393";"B007";"27/01/2021 21:26:28";"D002";"Comida Preparada";"Bienmesabe";"1"
"C403";"B004";"27/01/2021 21:26:11";"D002";"Comida Preparada";"ternera con pimientos";"4"
"C401";"B004";"27/01/2021 21:23:19";"D005";"Pan";"Bien";"4"
"C393";"B007";"27/01/2021 21:22:57";"D005";"Pan";"Bien";"1"
"C410";"B007";"27/01/2021 21:22:32";"D005";"Pan";"Bien";"1"
"C410";"B001";"27/01/2021 21:22:08";"D005";"Pan";"Bien";"1"
"C390";"B011";"27/01/2021 20:46:08";"D001";"Comida Preparada";"Garbanzos con carne";"3"
"C391";"B014";"27/01/2021 20:44:48";"D002";"Comida Preparada";"Pollo con verduras";"2"
"C398";"B014";"27/01/2021 20:44:33";"D003";"Comida Preparada";"Paella de pollo";"4"
"C398";"B007";"27/01/2021 20:44:08";"D003";"Comida Preparada";"Paella de pollo";"2"
"C396";"B007";"27/01/2021 20:43:54";"D006";"Alimentos frescos";"fruta y verdura";"3"
"C391";"B007";"27/01/2021 20:43:01";"D002";"Comida Preparada";"Pollo con verduras";"2"
"C389";"B007";"27/01/2021 20:41:19";"D015";"Comida preparada";"EMPANADILLAS";"3"
"C379";"B007";"27/01/2021 20:39:20";"D015";"Comida Preparada";"EMPANADILLAS";"2"
"C393";"B001";"27/01/2021 20:38:16";"D002";"Comida Preparada";"Bienmesabe";"3"
"C389";"B001";"27/01/2021 20:38:03";"D001";"Comida Preparada";"Morcilla";"2"
"C392";"B001";"27/01/2021 20:37:46";"D002";"Comida Preparada";"Arroz con conejo";"3"
"C391";"B001";"27/01/2021 20:32:44";"D002";"Comida Preparada";"Pollo con verduras";"5"
"C400";"B001";"27/01/2021 20:32:29";"D012";"Alimentos frescos";"fruta y verdura";"3"
"C397";"B011";"26/01/2021 21:53:35";"-";"-";"-";"1"
"C400";"B011";"26/01/2021 21:52:29";"-";"-";"-";"4"
"C395";"B012";"26/01/2021 21:40:53";"D008";"Comida Preparada";"Ensalada de pasta";"2"
"C395";"B011";"26/01/2021 21:40:34";"D008";"Comida Preparada";"Ensalada de pasta";"2"
"C393";"B012";"26/01/2021 21:39:13";"D002";"Comida Preparada";"Bienmesabe";"3"
"C392";"B014";"26/01/2021 21:38:35";"D002";"Comida Preparada";"Arroz con conejo";"2"
"C394";"B004";"26/01/2021 21:37:54";"D008";"Comida Preparada";"Lentejas";"3"
